Publisher,Publisher_Local
Electronic Arts,America
Sony Computer Entertainment,Japan
Activision,America
Square Enix,Japan
Take-Two Interactive,America
Ubisoft,Europe
Microsoft Game Studios,America
Nintendo,Japan
Bethesda Softworks,America
Hello Games,Europe
Namco Bandai Games,Japan
Level 5,Japan
Warner Bros. Interactive Entertainment,America
Konami Digital Entertainment,Japan
Capcom,Japan
Sony Computer Entertainment Europe,Europe
Slightly Mad Studios,Europe
Mojang,Europe
Focus Home Interactive,Europe
Sega,Japan
Disney Interactive Studios,America
Deep Silver,Europe
GungHo,Japan
NCSoft,South Korea
THQ,America
Atlus,Japan
Codemasters,Europe
Majesco Entertainment,America
Valve Software,America
LucasArts,America
Valve,America
Mastertronic,Europe
505 Games,Europe
MTV Games,America
City Interactive,Europe
Eidos Interactive,America
Mindscape,Europe
Activision Value,America
Zoo Games,Europe
Midway Games,America
Atari,America
GSP,America
Tecmo Koei,Japan
D3Publisher,Japan
Rising Star Games,Europe
RTL,Europe
Russel,
RedOctane,America
Tomy Corporation,Japan
Oxygen Interactive,Europe
Alchemist,Japan
Vivendi Games,America
Enix Corporation,Japan
Global Star,America
TDK Mediactive,America
Sony Online Entertainment,America
SouthPeak Games,America
Empire Interactive,Europe
SquareSoft,Japan
Zoo Digital Publishing,Europe
Universal Interactive,America
Infogrames,America
Gotham Games,America
Acclaim Entertainment,America
Black Label Games,America
Agetec,America
Play It,Europe
Virgin Interactive,Europe
Crave Entertainment,America
